Anarchism	אנרכיזם
Autism	אוטיזם קלאסי
Albedo	אלבדו
A	A
Alabama	אלבמה
Achilles	אכילס
Abraham Lincoln	אברהם לינקולן
Aristotle	אריסטו
An American in Paris	אמריקאי בפריז
Academy Awards	פרס אוסקר
International Atomic Time	הזמן האטומי הבינלאומי
Altruism	זולתנות
Ayn Rand	איין ראנד
Algeria	אלג'יריה
Anthropology	אנתרופולוגיה
Agricultural science	אגרונומיה
Alchemy	אלכימיה
Astronomer	אסטרונום
ASCII	ASCII
Austin	אוסטין
Animation	הנפשה
Apollo	אפולו
Andre Agassi	אנדרה אגאסי
Afroasiatic languages	שפות אפרו-אסיאתיות
Andorra	אנדורה
Arithmetic mean	ממוצע חשבוני
American Football Conference	American Football Conference
Animal Farm	חוות החיות
Amphibian	דו-חיים
Alaska	אלסקה
Agriculture	חקלאות
Aldous Huxley	אלדוס האקסלי
Ada	עדה
Aberdeen	אברדין
Algae	אצות
Alkane	אלקאן
Assistive technology	טכנולוגיה מסייעת
Abacus	חשבונייה
Acid	חומצה
Asphalt	אספלט
American National Standards Institute	מכון התקנים האמריקני
Apollo 11	אפולו 11
Apollo 8	אפולו 8
Astronaut	טייס חלל
A Modest Proposal	הצעה צנועה
Alkali metal	מתכת אלקלית
Alphabet	אלפבית
Atomic number	מספר אטומי
Anatomy	אנטומיה
Affirming the consequent	אישור הסוגר
Andrei Tarkovsky	אנדריי טרקובסקי
Ambiguity	עמימות
Aardvark	שנבוב
Aardwolf	צבועון הרעמה
Adobe	טיט
Adventure	הרפתקה
Asia	אסיה
Aruba	ארובה
Articles of Confederation	תקנון הקונפדרציה
Atlantic Ocean	האוקיינוס האטלנטי
Arthur Schopenhauer	ארתור שופנהאואר
Angola	אנגולה
Albert Sidney Johnston	אלברט סידני ג'ונסטון
Android	אנדרואיד
Alberta	אלברטה
Actinopterygii	מקריני סנפיר
Albert Einstein	אלברט איינשטיין
Afghanistan	אפגניסטן
Albania	אלבניה
Allah	אללה
Azerbaijan	אזרבייג'ן
Amateur astronomy	אסטרונומיית חובבים
Aikido	אייקידו
Art	אמנות
Abortion	הפלה מלאכותית
American Revolutionary War	מלחמת העצמאות של ארצות הברית
Ampere	אמפר
Algorithm	אלגוריתם
Atlas	אטלס
Mouthwash	שטיפת פה
Alexander the Great	אלכסנדר הגדול
Alfred Korzybski	אלפרד קוז'יבסקי
Asteroids	אסטרואידים
Asparagales	אספרגאים
Alismatales	כף צפרדע
Apiales	סוככאים
Asterales	אסטראים
Asteroid	אסטרואיד
Affidavit	תצהיר
Aries	טלה
Aquarius	דלי
Anime	אנימה
Ankara	אנקרה
Arabic	ערבית
Alfred Hitchcock	אלפרד היצ'קוק
Altaic languages	שפות אלטאיות
Axiom of choice	אקסיומת הבחירה
Attila	אטילה ההוני
